"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Szczecin,  Poland","Szczecin"," Poland","Szczecin, West Pomeranian Voivodeship, Poland","53.4301818","14.5509623","501.449","4864.823","1","0"
"Szeged,  Hungary","Szeged"," Hungary","Szeged, Szegedi járás, Csongrád-Csanád County, Southern Great Plain, Great Plain and North, Hungary","46.2546312","20.1486016","510.98","5053.544","1","0"
"Krakow,  Poland","Krakow"," Poland","Krakow, Wieliczka County, Lesser Poland Voivodeship, Poland","50.0469432","19.997153435836697","519.661","5225.43","1","0"
"Rennes,  France","Rennes"," France","Rennes, Ille-et-Vilaine, Brittany, Metropolitan France, France","48.1113387","-1.6800198","574.519","4821.461","2","0"
"Trondheim,  Norway","Trondheim"," Norway","Trondheim, Trøndelag, Norway","63.4305658","10.3951929","574.999","6081.254","1","0"
"Orléans,  France","Orléans"," France","Orléans, Loiret, Centre-Loire Valley, Metropolitan France, France","47.9027336","1.9086066","624.02","5421.016","2","0"
"Lyon,  France","Lyon"," France","Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France","45.7578137","4.8320114","635.055","5554.673","2","0"
"Boulogne-Billancourt,  France","Boulogne-Billancourt"," France","Boulogne-Billancourt, Hauts-de-Seine, Ile-de-France, Metropolitan France, 92100, France","48.8356649","2.240206","654.255","5787.227","2","0"
"London,  United Kingdom","London"," United Kingdom","London, Greater London, England, United Kingdom","51.5073219","-0.1276474","700.348","6345.52","2","0"
"Talence,  France","Talence"," France","Talence, Bordeaux, Gironde, New Aquitaine, Metropolitan France, 33400, France","44.8088438","-0.5879629","750.296","5881.889","3","0"
"Heidelberg,  Germany","Heidelberg"," Germany","Heidelberg, Baden-Württemberg, Germany","49.4093582","8.694724","786.809","7392.744","2","0"
"Glasgow,  United Kingdom","Glasgow"," United Kingdom","Glasgow, Glasgow City, Scotland, G2 9SD, United Kingdom","55.8609825","-4.2488787","815.548","7765.842","2","0"
"Klagenfurt,  Austria","Klagenfurt"," Austria","Klagenfurt, Klagenfurt am Wörthersee, Carinthia, 9020, Austria","46.6228162","14.3079604","858.65","8395.037","2","0"
