city,country,dst_lisbon_km,co2_kg,percentile,percent_total_co2_kg,cum_co2_kg,percent_cum_total_co2_kg,model_set
Lisbon, Portugal,0.0,0.0,0.0,0.0,0.0,0.0,Pessimistic
Lisbon, Portugal,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,Pessimistic
Lisbon, Portugal,0.0,0.0,0.014598540145985401,0.0,0.0,0.0,Pessimistic
Lisbon, Portugal,0.0,0.0,0.021897810218978103,0.0,0.0,0.0,Pessimistic
Lisbon, Portugal,0.0,0.0,0.029197080291970802,0.0,0.0,0.0,Pessimistic
Caparica, Portugal,17.383,0.52,0.0364963503649635,3.001400505423147e-06,0.52,3.001400505423147e-06,Pessimistic
Dagorda, Portugal,126.966,3.796,0.043795620437956206,2.191022368958897e-05,4.316,2.4911624195012117e-05,Pessimistic
Porto, Portugal,550.3605,16.456,0.051094890510948905,9.49827821485448e-05,20.772,0.00011989440634355692,Pessimistic
Porto, Portugal,550.3605,16.456,0.058394160583941604,9.49827821485448e-05,37.227999999999994,0.0002148771884921017,Pessimistic
Braga, Portugal,643.693,19.246,0.06569343065693431,0.00011108645024494976,56.47399999999999,0.00032596363873705145,Pessimistic
Santiago de Compostela, Spain,933.268,27.905,0.072992700729927,0.00016106554058429408,84.37899999999999,0.0004870291793213455,Pessimistic
Leganés, Spain,989.235,29.578,0.08029197080291971,0.00017072196951808813,113.957,0.0006577511488394337,Pessimistic
Santander, Spain,1383.243,326.567,0.08759124087591241,0.0018849199208740785,440.524,0.002542671069713512,Pessimistic
Valencia, Spain,1520.981,352.873,0.0948905109489051,0.002036756154904196,793.3969999999999,0.004579427224617708,Pessimistic
Talence, France,1960.6296666666667,432.67699999999996,0.10218978102189781,0.0024973787817018666,1226.0739999999998,0.007076806006319575,Pessimistic
Talence, France,1960.6296666666667,432.67699999999996,0.10948905109489052,0.0024973787817018666,1658.7509999999997,0.009574184788021441,Pessimistic
Talence, France,1960.6296666666667,432.67699999999996,0.11678832116788321,0.0024973787817018666,2091.428,0.012071563569723309,Pessimistic
Bordeaux, France,1966.288,433.336,0.12408759124087591,0.002501182479650086,2524.764,0.014572746049373397,Pessimistic
Barcelona, Spain,2014.2060000000001,438.91540000000003,0.13138686131386862,0.002533386352688467,2963.6794,0.017106132402061863,Pessimistic
Barcelona, Spain,2014.2060000000001,438.91540000000003,0.1386861313868613,0.002533386352688467,3402.5948,0.019639518754750326,Pessimistic
Barcelona, Spain,2014.2060000000001,438.91540000000003,0.145985401459854,0.002533386352688467,3841.5101999999997,0.022172905107438794,Pessimistic
Barcelona, Spain,2014.2060000000001,438.91540000000003,0.15328467153284672,0.002533386352688467,4280.4256,0.02470629146012726,Pessimistic
Barcelona, Spain,2014.2060000000001,438.91540000000003,0.16058394160583941,0.002533386352688467,4719.340999999999,0.027239677812815725,Pessimistic
Toulouse, France,2077.15,446.244,0.1678832116788321,0.002575686475273167,5165.584999999999,0.02981536428808889,Pessimistic
Bruz, France,2389.099,482.568,0.17518248175182483,0.0027853458444250714,5648.152999999999,0.03260071013251396,Pessimistic
Rennes, France,2410.7305,485.0865,0.18248175182481752,0.0027998824351422023,6133.2395,0.03540059256765617,Pessimistic
Rennes, France,2410.7305,485.0865,0.1897810218978102,0.0027998824351422023,6618.326,0.03820047500279837,Pessimistic
Orléans, France,2710.508,520.3215,0.19708029197080293,0.0030032561790048653,7138.6475,0.04120373118180324,Pessimistic
Orléans, France,2710.508,520.3215,0.20437956204379562,0.0030032561790048653,7658.969,0.0442069873608081,Pessimistic
Lyon, France,2777.3365,528.744,0.2116788321167883,0.003051870209306647,8187.713,0.04725885757011475,Pessimistic
Lyon, France,2777.3365,528.744,0.21897810218978103,0.003051870209306647,8716.457,0.050310727779421395,Pessimistic
Grenoble, France,2844.4066666666663,537.1963333333333,0.22627737226277372,0.0031006564353425535,9253.653333333334,0.05341138421476395,Pessimistic
Grenoble, France,2844.4066666666663,537.1963333333333,0.23357664233576642,0.0031006564353425535,9790.849666666667,0.0565120406501065,Pessimistic
